,Portcard power,,,,,,,,,DCU ave (V),DCU direct (V),<DCU ave> (rel),<DCU dir> (rel),,,,,,,,
,direct meas. (V),DCU meas. (V),input (V),R51 meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),R51 (direct V),DCU meas. (LSB),DCU meas. (mV),input (V),R51 (direct V),DCU meas. (LSB),DCU meas. (V),input (V),,,,,,
B1A,N/A,N/A,,,,0,,,,0,,,,,,B1A,,,,,
T1A,N/A,N/A,,1.15,2470,2223,,,,0,,,2490,2241,,T1A,,,,,
B1B,N/A,N/A,,,,0,,,,0,,,,,,B1B,,,,,
T1B,N/A,N/A,,1.21,2449,2204.1,,,,0,,,2470,2223,,T1B,,,,,
B1C,N/A,N/A,,,,0,,,,0,,,,,,B1C,,,,,
T1C,N/A,N/A,,1.15,2506,2255.4,,,,0,,,2429,2186.1,,T1C,,,,,
B1D,N/A,N/A,,,,0,,,,0,,,,,,B1D,,,,,
T1D,N/A,N/A,,1.22,2468,2221.2,,,,0,,2.316,2499,2249.1,,T1D,,,,,
B2A,N/A,N/A,,,,0,,,,0,,,,,,B2A,,,,,
T2A,N/A,N/A,,0.74,2532,2278.8,,,2464,2217.6,,2.316,2473,2225.7,,T2A,,,,,
B2B,N/A,N/A,,,,0,,,,0,,,,,,B2B,,,,,
T2B,N/A,N/A,,1.04,2451,2205.9,,,2524,2271.6,,2.312,2445,2200.5,,T2B,,,,,
B2C,N/A,N/A,,,,0,,,,0,,,,,,B2C,,,,,
T2C,N/A,N/A,,1.32,2450,2205,,,2449,2204.1,,2.304,2492,2242.8,,T2C,,,,,
B2D,N/A,N/A,,,,0,,,,0,,,,,,B2D,,,,,
T2D,N/A,N/A,,1.42,2455,2209.5,,,2513,2261.7,,2.298,2507,2256.3,,T2D,,,,,
B3A,N/A,N/A,,,,0,,,,0,,,,,,B3A,,,,,
T3A,N/A,N/A,,1.55,2505,2254.5,,,2478,2230.2,,2.326,2456,2210.4,,T3A,,,,,
B3B,N/A,N/A,,,,0,,,,0,,,,,,B3B,,,,,
T3B,N/A,N/A,,1.42,2486,2237.4,,,2476,2228.4,,2.316,2477,2229.3,,T3B,,,,,
B3C,N/A,N/A,,,,0,,,,0,,,,,,B3C,,,,,
T3C,N/A,N/A,,1.06,2493,2243.7,,,2471,2223.9,,2.308,2450,2205,,T3C,,,,,
B3D,N/A,N/A,,,,0,,,,0,,,,,,B3D,,,,,
T3D,N/A,N/A,,1.23,2474,2226.6,,,2459,2213.1,,2.33,2505,2254.5,,T3D,,,,,
,,,,,,,,,,,,,,,,,,,,,
,0x8f - temperature sensor,,,,,,,,,,,,,,,,,,,,
portcard,HC1-BmI,,,HC4-BpO,,,,HC3-BpI,,,,HC2-BmO,,,,portcard,,,,,
,direct meas. (V),DCU meas. (V),input (V),direct meas. (V),DCU meas. (LSB),DCU meas. (V),DCU* meas. (V),Vdd-PC (LSB),DCU meas. (LSB),DCU meas. (mV),Temp (C),direct meas. (V),DCU meas. (LSB),DCU meas. (V),Temp (C),,,,,,
B1A,N/A,N/A,,,,0,,,,0,,,,,,B1A,,,,,
T1A,N/A,N/A,,26.27582017,2595,2335.5,38.6659436,,,0,,26.44795464,2612,,40.50976139,T1A,,,,,
B1B,N/A,N/A,,,,0,,,,0,,,,,,B1B,,,,,
T1B,N/A,N/A,,26.28594573,2596,2336.4,38.77440347,,,0,,26.40745241,2608,,40.07592191,T1B,,,,,
B1C,N/A,N/A,,,,0,,,,0,,,,,,B1C,,,,,
T1C,N/A,N/A,,26.88335358,2655,2389.5,45.17353579,,,0,,25.87079789,2555,,34.32754881,T1C,,,,,
B1D,N/A,N/A,,,,0,,,,0,,,,,,B1D,,,,,
T1D,N/A,N/A,,25.66828676,2535,2281.5,32.15835141,,,0,,26.56946132,2624,,41.81127983,T1D,,,,,
B2A,N/A,N/A,,,,0,,,,0,,,,,,B2A,,,,,
T2A,N/A,N/A,,26.99473471,2666,2399.4,46.36659436,26.39732685,2607,2346.3,39.96746204,26.37707574,2605,,39.7505423,T2A,,,,,
B2B,N/A,N/A,,,,0,,,,0,,,,,,B2B,,,,,
T2B,N/A,N/A,,25.91130012,2559,2303.1,34.76138829,26.52895909,2620,2358,41.37744035,26.2454435,2592,,38.34056399,T2B,,,,,
B2C,N/A,N/A,,,,0,,,,0,,,,,,B2C,,,,,
T2C,N/A,N/A,,26.57958688,2625,2362.5,41.9197397,25.86067234,2554,2298.6,34.21908894,26.70109356,2637,,43.22125813,T2C,,,,,
B2D,N/A,N/A,,,,0,,,,0,,,,,,B2D,,,,,
T2D,N/A,N/A,,25.90117456,2558,2302.2,34.65292842,26.56946132,2624,2361.6,41.81127983,26.95423248,2662,,45.93275488,T2D,,,,,
B3A,N/A,N/A,,,,0,,,,0,,,,,,B3A,,,,,
T3A,N/A,N/A,,26.33657351,2601,2340.9,39.31670282,26.11381126,2579,2321.1,36.93058568,25.85054678,2553,,34.11062907,T3A,,,,,
B3B,N/A,N/A,,,,0,,,,0,,,,,,B3B,,,,,
T3B,N/A,N/A,,26.35682463,2603,2342.7,39.53362256,26.04293236,2572,2314.8,36.17136659,26.09356015,2577,,36.71366594,T3B,,,,,
B3C,N/A,N/A,,,,0,,,,0,,,,,,B3C,,,,,
T3C,N/A,N/A,,26.46820575,2614,2352.6,40.72668113,26.07330903,2575,2317.5,36.4967462,25.81004455,2549,,33.67678959,T3C,,,,,
B3D,N/A,N/A,,,,0,,,,0,,,,,,B3D,,,,,
T3D,N/A,N/A,,26.1745646,2585,2326.5,37.5813449,26.40745241,2608,2347.2,40.07592191,26.16443904,2584,,37.47288503,T3D,,,,,
